position_id,source_game_id,split,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6g5,108.0,0.26362483547220333,1,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6g6,-91.0,-0.22365473800347424,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6f5,-150.0,-0.35835739835078595,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,b7b6,-383.0,-0.7431596610505404,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6f4,-480.0,-0.8336546070121552,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6d4,-511.0,-0.855817403604612,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6h6,-543.0,-0.8758119575033825,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,c6c5,-571.0,-0.8911531288062178,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,d7d6,-588.0,-0.899577453619467,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,a6a5,-594.0,-0.9024005540024,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,h7h6,-596.0,-0.9033247425601896,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,e7d6,-743.0,-0.9524472851171416,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,e7d8,-799.0,-0.9638505266716332,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,e8d8,-800.0,-0.9640275800758169,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,g8h6,-805.0,-0.9649001551103512,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,d7d5,-808.0,-0.9654136868601891,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,f6e5,-830.0,-0.9689604868431823,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,b7b5,-864.0,-0.9737493633257944,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,h7h5,-864.0,-0.9737493633257944,0,28
0,generated_0000,train,rnb1k1nr/1p1pbppp/p1p1pq2/6P1/3P4/4PP2/PPPN3P/R1BQKBNR b KQkq - 2 8,black,e7f8,-871.0,-0.974640794891156,0,28
